motif,good_count,good_support,bad_count,bad_support,manual_count,manual_support,good_minus_bad,bad_minus_good,shared_strength,manual_alignment,group
relhist:E4_T0_X1_C1,50,0.09225092250922509,166,0.041929780247537254,1,0.0078125,0.05032114226168784,-0.05032114226168784,0.041929780247537254,0.0078125,shared
orient:axisb1_diagb1_curveb3,27,0.04981549815498155,164,0.04142460217226572,6,0.046875,0.008390895982715828,-0.008390895982715828,0.04142460217226572,0.046875,shared
role:maxD4_B3_portb4,30,0.055350553505535055,162,0.04091942409699419,1,0.0078125,0.014431129408540862,-0.014431129408540862,0.04091942409699419,0.0078125,shared
capacity:Sb0_CC1_C0,62,0.11439114391143912,289,0.07299823187673656,92,0.71875,0.041392912034702564,-0.041392912034702564,0.07299823187673656,0.71875,manual_aligned
role:maxD2_B0_portb1,32,0.05904059040590406,213,0.05380146501641829,56,0.4375,0.005239125389485767,-0.005239125389485767,0.05380146501641829,0.4375,manual_aligned
proxy:axis_skeleton_with_curve_residual,15,0.027675276752767528,206,0.05203334175296792,47,0.3671875,-0.024358065000200393,0.024358065000200393,0.027675276752767528,0.3671875,manual_aligned
role:maxD2_B0_portb2,39,0.07195571955719557,668,0.16872947714069209,24,0.1875,-0.09677375758349652,0.09677375758349652,0.07195571955719557,0.1875,manual_aligned
field:spineb1_enclb0_interb0,39,0.07195571955719557,534,0.13488254609749936,23,0.1796875,-0.06292682654030379,0.06292682654030379,0.07195571955719557,0.1796875,manual_aligned
role:maxD1_B0_portb0,5,0.00922509225092251,256,0.06466279363475626,23,0.1796875,-0.05543770138383375,0.05543770138383375,0.00922509225092251,0.1796875,manual_aligned
relhist:E2_T0_X0_C0,7,0.012915129151291513,250,0.06314725940894166,22,0.171875,-0.050232130257650144,0.050232130257650144,0.012915129151291513,0.171875,manual_aligned
relhist:E1_T1_X0_C0,1,0.0018450184501845018,15,0.003788835564536499,21,0.1640625,-0.0019438171143519973,0.0019438171143519973,0.0018450184501845018,0.1640625,manual_aligned
field:spineb2_enclb0_interb0,4,0.007380073800738007,69,0.017428643596867896,20,0.15625,-0.010048569796129888,0.010048569796129888,0.007380073800738007,0.15625,manual_aligned
field:spineb0_enclb0_interb0,53,0.09778597785977859,1014,0.25612528416266733,19,0.1484375,-0.15833930630288873,0.15833930630288873,0.09778597785977859,0.1484375,manual_aligned
relhist:E1_T0_X0_C0,2,0.0036900369003690036,198,0.050012629451881785,19,0.1484375,-0.04632259255151278,0.04632259255151278,0.0036900369003690036,0.1484375,manual_aligned
field:spineb1_enclb0_interb1,42,0.07749077490774908,121,0.03056327355392776,17,0.1328125,0.04692750135382132,-0.04692750135382132,0.03056327355392776,0.1328125,manual_aligned
relhist:E4_T0_X0_C0,48,0.08856088560885608,791,0.1997979287698914,16,0.125,-0.1112370431610353,0.1112370431610353,0.08856088560885608,0.125,manual_aligned
orient:axisb1_diagb1_curveb2,1,0.0018450184501845018,2,0.0005051780752715333,14,0.109375,0.0013398403749129684,-0.0013398403749129684,0.0005051780752715333,0.109375,manual_aligned
capacity:Sb1_CC1_C0,68,0.12546125461254612,380,0.09598383430159131,13,0.1015625,0.029477420310954808,-0.029477420310954808,0.09598383430159131,0.1015625,manual_aligned
capacity:Sb0_CC1_C1,19,0.03505535055350553,205,0.051780752715332154,11,0.0859375,-0.016725402161826622,0.016725402161826622,0.03505535055350553,0.0859375,manual_aligned
orient:axisb2_diagb1_curveb1,1,0.0018450184501845018,4,0.0010103561505430665,11,0.0859375,0.0008346622996414353,-0.0008346622996414353,0.0010103561505430665,0.0859375,manual_aligned
orient:axisb3_diagb0_curveb0,29,0.05350553505535055,84,0.021217479161404394,10,0.078125,0.032288055893946156,-0.032288055893946156,0.021217479161404394,0.078125,manual_aligned
relhist:E2_T1_X0_C0,2,0.0036900369003690036,12,0.0030310684516291994,10,0.078125,0.0006589684487398042,-0.0006589684487398042,0.0030310684516291994,0.078125,manual_aligned
orient:axisb3_diagb0_curveb1,0,0.0,2,0.0005051780752715333,10,0.078125,-0.0005051780752715333,0.0005051780752715333,0.0,0.078125,manual_aligned
